pathway	metabolic_category	n_complete	pct_complete
fumarate	carbon	7	87.5
deoxyribose	carbon	7	87.5
pro	aa	7	87.5
threonine	carbon	7	87.5
gln	aa	7	87.5
thr	aa	7	87.5
succinate	carbon	7	87.5
glutamate	carbon	7	87.5
gly	aa	7	87.5
serine	carbon	7	87.5
his	aa	7	87.5
ile	aa	7	87.5
isoleucine	carbon	7	87.5
leu	aa	7	87.5
leucine	carbon	7	87.5
lys	aa	7	87.5
putrescine	carbon	7	87.5
met	aa	7	87.5
propionate	carbon	7	87.5
phe	aa	7	87.5
proline	carbon	7	87.5
trp	aa	7	87.5
phenylalanine	carbon	7	87.5
deoxyribonate	carbon	7	87.5
L-lactate	carbon	7	87.5
tyr	aa	7	87.5
arg	aa	7	87.5
arginine	carbon	7	87.5
asn	aa	7	87.5
asparagine	carbon	7	87.5
aspartate	carbon	7	87.5
acetate	carbon	7	87.5
tyrosine	carbon	7	87.5
chorismate	aa	7	87.5
tryptophan	carbon	7	87.5
citrulline	carbon	7	87.5
val	aa	7	87.5
cys	aa	7	87.5
valine	carbon	7	87.5
maltose	carbon	6	75.0
ser	aa	6	75.0
D-lactate	carbon	6	75.0
L-malate	carbon	6	75.0
4-hydroxybenzoate	carbon	6	75.0
alanine	carbon	6	75.0
lactose	carbon	6	75.0
ethanol	carbon	6	75.0
cellobiose	carbon	6	75.0
glucose	carbon	6	75.0
sucrose	carbon	6	75.0
thymidine	carbon	6	75.0
trehalose	carbon	6	75.0
deoxyinosine	carbon	6	75.0
pyruvate	carbon	5	62.5
2-oxoglutarate	carbon	5	62.5
histidine	carbon	5	62.5
glucuronate	carbon	5	62.5
fructose	carbon	5	62.5
galactose	carbon	5	62.5
glycerol	carbon	5	62.5
phenylacetate	carbon	4	50.0
D-alanine	carbon	4	50.0
NAG	carbon	4	50.0
glucosamine	carbon	4	50.0
xylose	carbon	4	50.0
lysine	carbon	4	50.0
mannose	carbon	4	50.0
sorbitol	carbon	3	37.5
galacturonate	carbon	3	37.5
ribose	carbon	3	37.5
citrate	carbon	3	37.5
mannitol	carbon	3	37.5
gluconate	carbon	3	37.5
myoinositol	carbon	2	25.0
fucose	carbon	2	25.0
rhamnose	carbon	2	25.0
arabinose	carbon	2	25.0
D-serine	carbon	2	25.0
