abiotic_variable	n	spearman_rho	p_value
annotations_depth_has_numeric_value	6365	-0.11946330437712994	1.1407358145142343e-21
annotations_temp_has_numeric_value	6365	0.08814652785912451	1.857975131283252e-12
annotations_depth_has_maximum_numeric_value	6365	0.07619987143591743	1.1507820922501067e-09
annotations_depth_has_minimum_numeric_value	6365	-0.05519679027161957	1.0522578933424456e-05
annotations_ph	6365	0.049437947050878145	7.951920973447696e-05
annotations_ammonium_nitrogen_has_numeric_value	6365	0.04397578207415453	0.00044905425927065394
annotations_diss_org_carb_has_numeric_value	6365	0.024208475531205403	0.05344857660517951
annotations_tot_nitro_content_has_numeric_value	6365	0.022049760562714626	0.078574250696568
annotations_calcium_has_numeric_value	6365	-0.014936743665579226	0.2334573505303794
annotations_carb_nitro_ratio_has_numeric_value	6365	-0.013970233437328538	0.26511020908788674
annotations_potassium_has_numeric_value	6365	-0.013593981897036915	0.2781972856137453
annotations_magnesium_has_numeric_value	6365	-0.013593981897036915	0.2781972856137453
annotations_conduc_has_numeric_value	6365	0.013264100874013654	0.29002750938817157
annotations_tot_org_carb_has_numeric_value	6365	0.011421014833954095	0.3622794799279099
annotations_manganese_has_numeric_value	6365	0.008468618008289118	0.4993493833971958
annotations_diss_oxygen_has_numeric_value	6365	0.007803258836978621	0.533653500533535
annotations_soluble_react_phosp_has_numeric_value	6365	0.0068980030485386945	0.5821632097879332
annotations_samp_size_has_numeric_value	6365	0.005131803477639109	0.6822883740979
annotations_ammonium_has_numeric_value	6365	0.0018815155680392817	0.8807016958486862
annotations_tot_phosp_has_numeric_value	6365	0.0015584752484614798	0.9010680157534756
annotations_chlorophyll_has_numeric_value	6365	0.0010927030193136709	0.9305445012635152
